Index,Chunk
10,金多火多，又为下格。或癸丁与庚齐透天干，此命可言科甲，即风水浅薄，亦有选拔之才。癸水不出，虽有庚金丁火，不过富中取贵异途官职而已。壬透可云一富，若全无点水，又无庚金丁火，一派丙戊，此无用之人也。五六月甲木，木性虚焦，一理共推。五月先癸后丁庚金次之。六月三伏生寒，丁火退气。先丁后庚，无癸亦可。或五月乏癸，用丁亦可，要运行北地为隹。总之五六月用丁火，虽运行北地，不致于死。却不利运行火地，号曰木化成灰必死。行西程又不吉，号曰伤官遇杀，不测灾来，惟东方则吉，北方次之。此五六月用丁之说也。凡用神太多，不宜剋制，须洩之为妙。五六月甲木，木盛先庚，庚盛先丁。五月癸庚两透，为上上之格。
11,五六月甲木，木盛先庚，庚盛先丁。五月癸庚两透，为上上之格。六月庚丁两透，亦为上上之格。用神既透，木火通明，自然大富大贵。或丁火太多，癸水亦多，反作平人。若柱中多金，名曰杀重身轻，先富后贫，运不相扶，非贫即夭。或庚多，有一二丙丁制伏，又有壬癸透干，泄金之气，此又为先贫后富。或满柱丙火，又加丁火，不见官杀，谓之伤官伤尽最为奇，反成清贵，定主才学过人，科甲有望，但岁运不宜见水。若柱中有壬水，运又逢水，必贫夭死。但凡木火伤官者，聪明智巧，却是人同心异，多见多疑，虽不生事害人，每抱忌妒之想，女命一理同推。或四柱多土，干上有乙木，切勿作弃命从才。时月两透己土，名二土争合，男主奔流，女主淫贱。
12,"或四柱多土，干上有乙木，切勿作弃命从才。时月两透己土，名二土争合，男主奔流，女主淫贱。见二甲则不争矣，亦属平庸之辈。或四柱有辰，干见二己二甲，此人名利双全，大富大贵。若在六月，见辰支，名为逢时化合格。以癸水为妻，丁火为子。若二己一甲争合。取支中比劫为用。以甲为用者，壬癸为妻，甲乙为子。其余用庚者，土妻金子。用丁者，木妻火子。女命以妻作夫，用作子。十干皆同。或是己土，不见戊土，乃为假从，其人一生缩首，反畏妻子。若无印绶，一生贫苦。六月尤可，五月决不可。三秋甲木
三秋甲木，木性枯藁，金土乘旺，先丁后庚，丁庚两全，将甲造为画戟，七月甲堪为戟，非丁火不能造庚，非庚不能造甲，丁庚两透，科甲定然。"
13,"六月尤可，五月决不可。三秋甲木
三秋甲木，木性枯藁，金土乘旺，先丁后庚，丁庚两全，将甲造为画戟，七月甲堪为戟，非丁火不能造庚，非庚不能造甲，丁庚两透，科甲定然。庚禄居申，杀印相生，运行金水，身伴明君。或庚透无丁，一富而已，主为人操心太重，不能坐享。或丁透庚藏，亦主青衿小富。或庚多无丁，残疾之人若为僧道，灾厄可免。或四柱庚旺，支内水多，不作弃命从杀。见土多可作从才而看。庚多无癸，而壬水多，戊己亦多，此则专用一点丁火，方可制金以养群土，此命大富。丁藏富小，不显。丁露定作富豪。得二丁，不坐死绝，必然富贵双全，即风水不及，亦可富中取贵，纳粟奏名。或癸叠叠制伏丁火，虽满腹文章，终难显达。"
14,得二丁，不坐死绝，必然富贵双全，即风水不及，亦可富中取贵，纳粟奏名。或癸叠叠制伏丁火，虽满腹文章，终难显达。得运行火土，破癸，略可假就功名，岁运皆背，刀笔之徒。支成水局，戊己透干，制去癸水，存其丁火又可云科甲，但此等命，主为人心奸巧诈，好讼争非，因贪致祸。奸险之徒，决非安份之人也。七月甲木，丁火为尊，庚金次之，庚金不可少。火隔水不能镕金，故丁火镕金，必赖甲木引助，方成洪炉。若有癸水阻隔，便灭丁火，壬水无碍，且能合丁，但须见戊土，方可制水存火。八月甲木，木囚金旺。丁火为先，次用丙火，庚金再次。一丁一庚，科甲定显。癸水一透，科甲不全。丙庚两透，富大贵小。丙丁全无，僧道之命。丙透无癸，富贵双全。
15,丙丁全无，僧道之命。丙透无癸，富贵双全。有癸制丙，寻常之人。支成火局，可许假贵，戊己一透，可作富翁。或支成金局，干露庚金，为木被金伤，必主残疾，得丙丁破金，亦主老来暗疾。或支成木局，干透比劫，反取庚金为先，次用丁火。九月甲木，木星凋零，独爱丁火，壬癸滋扶，丁壬癸透，戊己亦透，此命配得中和，可许一榜。庚金得所，科甲定然。或见一二比肩，无庚金制之，平常人也。倘运不得用，贫无立锥。一命，甲辰、甲戌、甲辰、甲戌、身伴明君，富贵寿考，此为天元一气，又名一才一用。遇比用才，专取季土。或见庚丙，可许入泮，白手成家。用火者，木妻火子，子肖妻贤。或四柱木多，用丙用丁，皆不足异，耑用庚金为妙。
16,用火者，木妻火子，子肖妻贤。或四柱木多，用丙用丁，皆不足异，耑用庚金为妙。凡四季甲木，总不外乎庚金。譬如木为犁，能疏季土，非庚金为犁嘴，安能疏土虽用丙丁，癸庚决不可少也。九月却不取土妻庚子，当取水妻木子。凡甲木，多见戊己，定作弃命从才而看。从才格，取火妻土子。或见一派丙丁伤金，不过假道斯文，有壬癸破了丙丁，技艺之流。无壬癸破火，支又成火局，乃为枯朽之木，有庚亦何能为力，定作孤贫下贱之辈，男女一理。或有假伤官，得地逢生，此正合甲乙秋生贵元武之说，用水制伤官者，以金为妻，水为子。或丁戊俱多，总不见水，又为伤官生财格，亦可云富贵，此格取火为妻，土为子。凡甲多庚透，大贵。庚藏，小贵。
17,"凡甲多庚透，大贵。庚藏，小贵。若柱中多庚，则又以丁为奇，富贵人也。如庚申年、丙戌月、甲申日、壬申时，此主功名显达，有文学。若无庚丙年月，又无火星出干，虽曰好学，终困名场。九月甲木，耑用丁癸，见戊透必贵。如戊戌、壬戌、甲子、甲申，支成水局，干有壬水，正合贵元武之说。配得中和，一榜之命，家计丰足。但庚丁未透出干，不能馆选。甲乙比肩，又逢比劫运，主兄弟劫财争讼，刑妻损子。甲乙生正二月，无制无洩，主长发师姑。三冬甲木
十月甲木，庚丁为要，丙火次之。忌壬水泛身，须戊土制之。若庚丁两透，又加戊出干，名曰去浊留清，富贵之极，即乏丁火，亦稍有富贵。或甲多制戊，庚金无根，平常人也。"
18,若庚丁两透，又加戊出干，名曰去浊留清，富贵之极，即乏丁火，亦稍有富贵。或甲多制戊，庚金无根，平常人也。庚戊若透，虽出比劫，必定富而寿。或多比劫，只一庚出干，坐禄逢生乃为舍丁从庚，略富贵。或支见申亥，戊己得所，以救庚丁，可许科甲。若单己透，其力弱小，不过贡监而已。用庚，土妻金子。用丁，木妻火子。十一月甲木，木性生寒，丁先庚后，丙火佐之。癸水司权，为火金之病。庚丁两透，支见巳寅，科甲有准，风水不及，选拔有之。若癸透伤丁。无戊己辅救，残疾之人。或壬水重出，丁火全无者，庸人也，得丙方妙。或支成水局，加以壬透，名为水泛木浮，死无棺木。总之十一月甲木，为寒枝，不比春木清茂，耑取庚丁。
19,或支成水局，加以壬透，名为水泛木浮，死无棺木。总之十一月甲木，为寒枝，不比春木清茂，耑取庚丁。透壬无丙，不过刀笔异途，武职有验。用庚，土妻金子。用火，木妻火子。十二月甲木，天寒气冻，木性极寒，无生发之象，先用庚噼甲，方引丁火始得木火有通明之象，故丁次之。庚丁两透，科甲恩封。庚透丁藏，小贵。丁透庚藏，小富贵。无庚者，贫贱。无丁者，寒儒。或有丁透重重，亦是富贵中人，但须比肩，能发丁之燄，自有德业才能。如无比肩，寻常之士，稍有衣食而已。或支多见水，即有比肩，亦属平常。总之腊月甲木，虽有庚金，丁不可少。乏庚略可，乏丁无用。经云：甲木无根，男女夭寿。
20,"乏庚略可，乏丁无用。经云：甲木无根，男女夭寿。论乙木
三春乙木
三春乙木，为芝兰蒿草之物，丙癸不可离也，春乙见丙，卉木向阳，万象回春，须癸滋养根基。丙癸齐透天干，无化合制剋，自然登科及第，故书云：乙木根荄种得深，只须阳地不宜阴，漂浮只怕多逢水，剋制何须苦用金。正月乙木，必须用丙，因天气尤有余寒，非丙不暖，虽有癸水，恐凝寒气，故以丙火为先，癸水次之。丙癸两透，科甲定然，或有丙无癸门户阐扬。或丙多乏癸，名曰春旱。独阳不长，浊富之人。或丙少癸多，又为困丙，终为寒士。或癸己多见，为溼土之木皆下格。用丙者，木妻火子。用癸水见火多者，金妻水子。"
21,用丙者，木妻火子。用癸水见火多者，金妻水子。二月乙木，阳气渐升，木不寒矣，以丙为君，癸为臣，丙癸两透，不透庚金，大富大贵。或天干透庚，支下无辰，不能化金，得癸透养木亦为贵，若见水库，则为假化，平常人也。二月乙木，耑用丙癸，或支成木局，有癸透乃作贵命，更得丙洩木气，上上之命，但须透癸。或水多困丙，多戊化癸，皆下格。用丙者，木妻、火子。用癸者，金妻、水子。亥卯未逢于甲乙，富贵无疑。木全寅卯辰方，功名有准。活木忌埋根之铁，支下有庚辛，戕贼其根，木则朽矣。三月乙木，阳气愈炽，先癸后丙。癸丙两透，不见己庚，玉堂之客。见己庚者，平常之人。或一乙逢庚，不见己者，亦主小富贵，但不显达。
22,"见己庚者，平常之人。或一乙逢庚，不见己者，亦主小富贵，但不显达。或多水见己，只恐高才不第。见戊堪发异途。或庚己混杂，丙癸全，则为下格。或见水局，丙戊高透，亦主科甲。或柱中全无丙戊，支合水局，此离乡之命。或见一派癸水，又有辛金，则作旺看。得一戊己制癸，亦可云小富贵。若一派壬水，不特贫贱，而且夭折。有一戊己，方云有寿，但终为技术之人。又或庚辰时月，名二庚争合，乃贫贱之辈。如年干见丁破庚，可云从化，亦不失武职之权。用癸者，金妻水子。癸多用丙者，木妻火子。三夏乙木
三夏乙木，木性枯焦。四月专尚癸水。五六月先丙后癸，夏至前仍用癸水。先得丙透，支下又有丙火，名曰木秀火明。得一癸透，科甲中人。"
23,先得丙透，支下又有丙火，名曰木秀火明。得一癸透，科甲中人。或透二丙一癸，可许采芹。或一派癸水，有丁无丙，平常之人。或一癸透干，异途显宦，难由科甲。癸居子辰，异路小职。或丙藏支下，癸透年干，己出月上，虽非科甲，异路功名。又或重重癸水，或支藏癸水，由行伍出身得功名。四月乙木，自有丙火，耑取癸水为尊。四月乙木专用癸水，丙火酌用，虽以庚辛佐癸，须辛透为清。癸透、庚辛又透，科甲定然，独一点癸水、无金，是水无根，虽出天干，不过秀才小富，须要大运相扶。或土多困癸，贫贱之人。丙戊太多，支成火局，瞽目之流。用癸者，金妻水子。乙逢双女木伤残，若见辛金寿必难，不得丙丁来制伏，岂知安乐不久长。
24,用癸者，金妻水子。乙逢双女木伤残，若见辛金寿必难，不得丙丁来制伏，岂知安乐不久长。五月乙木，丁火司权，禾稼俱旱。上半月属阳，仍用癸水。下半月属阴，三伏生寒，丙癸齐用。柱多金水，丙火为先，余皆用癸水为先。乙木重逢火位，名为气散之文，支成火局，洩乙精神，须用癸滋。癸透有根，富贵双全。或庚辛年上，癸透时干，定许科甲，无癸者常人。若见丙透，支成火局，阳焦木性，此人残疾，无癸必夭，见壬可解。或火土太多，其人愚贱，或为僧道门下闲人。六月乙木，木性且寒，柱多金水，丙火为尊。支成水局，乙得无伤。癸水透干，大富大贵。无癸定作常人，运不行北，困苦一生。凡五六月乙木，气退枯焦，用癸水切忌戊己杂乱，则为下格。
25,无癸定作常人，运不行北，困苦一生。凡五六月乙木，气退枯焦，用癸水切忌戊己杂乱，则为下格。或甲木高透，制伏土神名为去浊留清，可许俊秀。土多乏甲秀气脱空，庸人而已。或丙癸两透，加以甲透制戊，选拔定然。若不见丙癸，只有丁火，亦属常人，有壬、可充衣食。或柱中无水，又无比劫出干﹐乃为弃命从才，富大贵小，能招贤德之妻。从才格以火为妻，土为子。或一派戊土出干，不见比肩，名为才多身弱，终为富屋贫人。或丙辛化水，嫖赌破家，终非承受之儿。或一派乙木，不见丙癸，名为乱臣无主劳碌奔波，又加支多辛金，僧道之辈。或一派甲木，无癸无丙，又无庚金，此人一生虚浮，总不诚实。
26,"或一派乙木，不见丙癸，名为乱臣无主劳碌奔波，又加支多辛金，僧道之辈。或一派甲木，无癸无丙，又无庚金，此人一生虚浮，总不诚实。有庚制甲，乃有谋之人，但嗜酒贪花，多欲败德，不修品行，男女一理。总之夏月之乙木，耑用癸水，丙火酌用，庚辛次之。三秋乙木
三秋乙木，金神司令，先丙后癸，惟九月耑用癸水，恐丙暖戊土为病也。七月乙木，庚金乘令，庚虽输情于乙妹，怎奈干乙难合支金。柱见庚多，乙难受载。或丙透干，又加巳出埋金，此格可云科甲。有己透、加丙，亦是上命。七月喜己土为用，或不见丙癸。己土必不可少，此则以火为妻，土为子。或癸透、丙藏、庚少，此不用己，可许贡拔。无丙、有癸透者，不失刀笔门户。"
27,或癸透、丙藏、庚少，此不用己，可许贡拔。无丙、有癸透者，不失刀笔门户。有支下庚多，癸又藏者，无丙己二神，平常人物。或生辰时，此为从化，反主富贵。凡化合格皆以所生之神为用。化金者，戊为用神，特忌丙丁煅炼破格。从化者以火为妻，土为子。其余以金为妻。妻必贤美。以水为子，子必剋肖，但忌刑冲。凡命皆然，不特此也。秋乙逢金，非贫即夭。秋生乙木忌根枯，根既枯藁，贫苦到老。八月乙木，芝兰禾稼均退。以丹桂为乙木。在白露之后，桂蕊未开，耑用癸水以滋桂萼。若秋分后，桂花已开，却喜向阳，又宜用丙，癸水次之，丙癸两透，科甲名臣。或支成金局，宜暗藏丁，无丁制金，恐木被金伤。若无水火，此人劳碌。
28,或支成金局，宜暗藏丁，无丁制金，恐木被金伤。若无水火，此人劳碌。或得癸水，为子得母，其人一生丰盈。或丙癸两透，戊土杂出，亦主异路功名。生秋分后，有丙无癸，亦略富贵。若有癸无丙，名利虚花。若四柱不见丙癸，下格。或癸在年（月）干，丙透时干，名为木火文星，定主上达。生于秋分后方佳。或生上半月无癸，姑用壬水，不然，枯木无用，必作贫人。又四柱多见戊己，下格。用癸者，金妻、水子。用丙者，木妻、火子。用壬者，金妻水子。甲乙遇强金，魂归西土，青龙逢兑旺，且贫且贱。乙木生居酉，莫逢巳酉丑，富贵坎离宫，贫穷申酉守。木逢金旺巳伤，再遇金乡，岂不损寿。九月乙木，根枯叶落，必赖癸水滋养。
29,"木逢金旺巳伤，再遇金乡，岂不损寿。九月乙木，根枯叶落，必赖癸水滋养。如见甲申时，名为藤萝系甲，可秋可冬。若见癸水，又遇辛金发水之源，定主科甲。或有癸无辛，常人。有辛无癸，贫贱。或四柱壬多，水难生乙，亦是寻常之辈。或支多戊土，又逢天干，作从才看，无比劫方妙，一逢比劫，富屋贫人。用癸者，金妻、水子。但子女艰难，季土剋制故也。三冬乙木
十月乙木，木不受气，而壬水司令，取丙为用，戊土次之。丙戊两透，科甲定然。有丙无戊，虽不科甲，亦入儒林。支多丙火，运入火乡，亦主显达。或水多无戊，乙性漂浮，流荡之徒。"
30,支多丙火，运入火乡，亦主显达。或水多无戊，乙性漂浮，流荡之徒。若不见丙巳，妻子难全，或一点壬水，即多见戊土，亦为不妙，得甲制戊，可许能干，但为人好生祸乱，构讼生非，男女一理。支成木局，时值小阳，此又如春木同旺，若有癸出，须取戊为尊，加以丙透，科甲之人。若无丙戊二字，自成自败，终非承受之辈。十一月乙木，花木寒冻，一阳来复，喜用丙火解冻，则花木有向阳之意，不宜用癸以冻花木，故耑用丙火。有一二点丙火出干，无癸制者，可许科甲。即丙藏支内，亦有选拔恩封，得此不贵，必因风水薄。或壬癸出干，有戊制，可作能人，即丙在支内，亦是俊秀。若壬透无戊，贫贱之人。
31,或壬癸出干，有戊制，可作能人，即丙在支内，亦是俊秀。若壬透无戊，贫贱之人。支成水局，干透壬癸，丙丁全无，虽有戊制，贫乏到老，运至南方，稍有衣食。丁火有亦如无，丁乃灯烛之火，岂能解严寒之冻。设无丙丁，戊土多见，金水奔流，下贱。或有戊己无火，亦属常人，但不至下贱。或一派丁火，大奸大诈之徒。如无甲引丁，孤鳏到老。丁火见甲，必主麟趾振振，芝兰绕膝。或成水局，壬癸两透，则木浮矣，不特贫贱，而且夭折，得一戊救方可。冬月之木，虽取戊制水，不可作用，耑取丙火则可。用火者，木妻、火子。用土者，火妻、土子。乙木生于冬至之后，坐下木局，得丙透干者，富贵之造。即丁出干，亦有衣禄，须忌癸制丁。
32,"乙木生于冬至之后，坐下木局，得丙透干者，富贵之造。即丁出干，亦有衣禄，须忌癸制丁。乙木生于冬月，己土透干，又有丙透，大富贵之造。十一月乙木，木寒宜丙﹐有寒谷回春之象，得一丙透，无癸出破格，不特科甲，定主名臣显宦。丙火藏支，食饩而已。干支无丙，一介寒儒。或四柱多己，不逢比劫，乃为从才，富比王侯，若见比劫，贫无立锥。虽或一派戊己，见甲颇有衣禄。耑以丙火为用，方妙。论火
炎炎真火，位镇南方，故火无不明之理，辉光不久。全要伏藏，故明无不灭之象。火以木为体。无木、则火不长焰。火以水为用，无水、则火太酷烈。故火多则不实，火烈则伤物。木能藏火，到寅卯方而生火，不利于西，遇申酉而必死。"
33,故火多则不实，火烈则伤物。木能藏火，到寅卯方而生火，不利于西，遇申酉而必死。生居离位，木断有为，若居坎宫，谨畏守礼。金得火和，而能镕铸。水得火和，则成既济。遇土不明，多主蹇塞。逢木旺处，决定为荣。木死火虚，难得永久，纵有功名，必不久长。春忌见木，恶其焚也。夏忌见土，恶其暗也。秋忌见金﹐金难剋制。冬忌见水，水旺则灭。故春火欲明，不欲炎。炎则不实。秋火欲藏、不欲明。明则太燥，冬火欲生、不欲杀，杀则歇灭。生于春月，母旺子相，势力并行，喜木生扶，不宜过旺，旺则火炎。欲水既济，不愁兴盛，盛则沾恩。土多则蹇塞埋光。火盛则伤多烈燥。见金可以施功，纵重见用才尤遂。夏月之火，秉令乘权。
34,"见金可以施功，纵重见用才尤遂。夏月之火，秉令乘权。逢水制则免自焚之咎，见木助必招夭折之患，遇金必作良工，得土遂成稼穑。金土虽为美利，无水则金燥土焦，再加木助，太过倾危。秋月之火，性息体和，得木生则有复明之庆。遇水剋难免陨灭之灾。土重而掩息其光。金多而损伤其势。火见火以光辉，纵叠见而必利。冬月之火，体绝形亡，喜木生而有救，遇水剋以为殃。欲土制为荣，爱火比为利。见金为难任财，无金而不遭害，天地虽倾，火水难成。论丙火
三春丙火
三春丙火，秉象至威，阳回大地，侮雪欺霜，耑用壬水为扶阳，名曰天和地润，既济功成。正月用壬，庚辛为助。二月耑用壬水。三月土重晦光，取甲佐之为妙。癸丙春生，不晴不雨之天。"
35,三月土重晦光，取甲佐之为妙。癸丙春生，不晴不雨之天。丙日春生，时月出癸，云雾迷濛，不显不达，非若壬水辅丙也。正月丙火，三阳开泰，火气渐炎，取壬为尊，庚金佐之。壬庚两透，科甲定然。即壬透庚藏，亦有异途显达。若一庚高透，支藏一二丙火，纳粟奏名，主为人慷慨英雄，有才迈众。或一派庚辛混杂，常人。得时月两透庚金、无辛者，定主清贵。或辛年辛时，名为贪合，酒色之徒。女命一理。或丙少壬多，而无戊制，名杀重身轻。斯人笑里藏刀，寻非痞棍。或见一戊制壬，反而富贵，宜见一二比肩方妙。或一片戊土，甲不出干，终非大器，且恐孤贫。正月之丙，忌戊晦光。或支成火局，耑取壬水为贵﹐无壬、癸亦姑用。
36,"正月之丙，忌戊晦光。或支成火局，耑取壬水为贵﹐无壬、癸亦姑用。若壬癸俱无，取戊以洩火气，但属平人。或支成火局，又作炎上而推，但不逢时耳。若不见东南岁运，反致孤贫。或四柱有甲木，得庚金暗制，可作秀才。无壬用癸者，略富贵，且官杀亦要旺相有根。丙火无壬，多主贫贱，屡徵屡验。或火多无水，一至水乡必死，不然，定有灾咎。惟五月丙火，合炎上格，则不喜水破格。用癸无根，定主目疾。用壬者，金妻水子。用庚者，土妻金子。时日月年
庚丙庚丙
寅午寅午
两间不杂，按察
时日月年
壬丙戊庚
辰寅寅寅
庚壬两透，词林
时日月年
丁丙庚辛
酉子寅亥
状元
时日月年
戊丙壬丁
戌子寅酉
二月丙火，阳气舒升，耑用壬水。"
37,"用庚者，土妻金子。时日月年
庚丙庚丙
寅午寅午
两间不杂，按察
时日月年
壬丙戊庚
辰寅寅寅
庚壬两透，词林
时日月年
丁丙庚辛
酉子寅亥
状元
时日月年
戊丙壬丁
戌子寅酉
二月丙火，阳气舒升，耑用壬水。壬透天干，不见丁化，加以庚辛己亦透，壬水有根，定主科甲。或无壬水，己土姑用，主有才学，虽不成名，必衣食充足。或一派壬水，见一戊制，虽不科甲，亦有恩庇。或无戊透，则有辰戌丑未之戊，但辰宫癸水，贪合成火，不能制土，此平常衣禄。若支下全无一戊，此系奔流之人，加以金多生水，下贱之命。或一派戊土，亦用壬水，运喜行木，见土不祥。行火亦不利。或丙子日，辛卯时，乃从化格，但不逢时，贪财坏印，难招祖业。"
